number,values_0,values_1,params_max_depth,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_accuracy,user_attrs_auroc,user_attrs_f1,user_attrs_ks_statistic,user_attrs_max_depth,user_attrs_max_distance_at,user_attrs_min_samples_leaf,user_attrs_min_samples_split,user_attrs_n_estimators,user_attrs_precision,user_attrs_recall,system_attrs_nsga2:generation
5,0.9862297162697305,0.8740311756976801,8,10,10,378,0.9366800123190637,0.9862297162697305,0.9262822780332508,0.8740311756976801,8,0.41708541921344733,10,10,378,0.9262822780332508,0.9281207910966187,0
6,0.9864790785076587,0.8732036110797429,8,1,2,409,0.9374807514628888,0.9864790785076587,0.927443901748425,0.8732036110797429,8,0.43132084328026676,1,2,409,0.927443901748425,0.9287587722407316,0
2,0.9892024083783365,0.8892770168928638,10,8,13,429,0.9452417616261164,0.9892024083783365,0.9366102415185211,0.8892770168928638,10,0.5049255578633051,8,13,429,0.9366102415185211,0.9374069610831502,0
1,0.9899586191054921,0.8930871849543227,11,9,11,69,0.946966430551278,0.9899586191054921,0.9382209327011535,0.8930871849543227,11,0.5306911826264699,9,11,69,0.9382209327011535,0.939817112072021,0
4,0.9915733483119371,0.9047840618137474,12,1,9,344,0.9531567600862334,0.9915733483119371,0.9480279083012958,0.9047840618137474,12,0.505963603058867,1,9,344,0.9480279083012958,0.9439285461118594,0
0,0.99208334295032,0.908076613063195,17,9,4,356,0.9550354173082846,0.99208334295032,0.9528754565637757,0.908076613063195,17,0.5547635921121886,9,4,356,0.9528754565637757,0.9431487913801658,0
7,0.9921550635701442,0.9085211311262429,14,4,7,308,0.9549738219895288,0.9921550635701442,0.9508021390374332,0.9085211311262429,14,0.5520843190324476,4,7,308,0.9508021390374332,0.9452753951938754,0
9,0.9922589019334924,0.9093821105504235,17,8,3,339,0.9557437634739759,0.9922589019334924,0.9540567660550459,0.9093821105504235,17,0.538664081189945,8,3,339,0.9540567660550459,0.9435741121429078,0
3,0.9923867050747011,0.9104886092781961,20,7,12,68,0.9561133353865107,0.9923867050747011,0.9559246476847857,0.9104886092781961,20,0.5333409283948144,7,12,68,0.9559246476847857,0.9424399234422627,0
8,0.9925055677478807,0.912240659209583,17,6,14,286,0.9565137049584231,0.9925055677478807,0.9555730998349243,0.912240659209583,17,0.5516365698994726,6,14,286,0.9555730998349243,0.9437867725242787,0
